"ID","question"
"0","hello, I m was wrong forum for my question so I based here. I took for the first time yesterday paroxetine and this morning it is a disaster. tingling all attorneys in the annunciator body cold sweat very very massive and vomiting. I'm two crises since 5 hour mat. this seems to spend my normal rest my hands sweaty and hot estce first thank you all"
"1","is what the motilium relieve me against nausea?"
"2","my doctor prescribed adenyl. 2nd stamp of terrible headaches and 3rd palpitations, cold sweats, intense heat in the head, shaking, tingling in the upper lip, difficulty breathing .. after stopping the drug all the symptoms have disappeared. is this already happened to someone ??"
"3","Is there a form adapted to the child of 5 years of Micropakine?"
"4","My doctor treats me to a rhino pharingite and prescribed amoxicillin as the anti biotic. Is it really for this indication?"
"5","I just learned that I'm enceinte..savez sure if I can continue rubozinc?"
"6","atrax it is not dangerous in the long term?"
"7","I am under Mercilon. I have nausea and bleeding?"
"8","Atenolol, what is it?"
"9","I take Trinordiol and at the end of my first plate I had my first boyfriend ac min. the pill is therefore effective from the beginning? I have chest pain, I feel they have grown a bit more ossified, I hurt o lower ventr, I have e or c minkiété simplemen the period dadaptation ??"
"10","laroxyl in low doses for stress?"
"11","my therapist told me to take 50mg sertraline the morning and 50 mg of sertraline night. 100mg can be taken either in the morning or at noon?"
"12","I am under antiobiotique for almost a week and I chopée whatever my bitch, ca scratch is superficial but it Demenge to a point, is this related to the antibiotic?"
"13","Which vaccine against cervical cancer of the uterus?"
"14","epilepsy and havlane?"
"15","DTPE vaccines and b hépatire they are possible during pregnancy?"
"16","I have just been put under androtardyl 1 week. I wanted to know after how many injections the product began to make its effects? and after how many days after each injection effects were felt?"
"17","How to treat dishydrose if the Dermoval and preparation (copper sulphate 10mg / 10L water bath) and DERMALIBOUR did not work?"
"18","a little information about acomplia. I took my first stamp this morning. have you had any side effects?"
"19","Oroken what risk ??"
"20","it may take St. John's wort and bach flower at the same time?"
"21","when it ends its wafer can we have sex raports?"
"22","What is the shelf life of Tegretol?"
"23","is that the pill trimordiol'm fat?"
"24","during the 7 days without taking once the wafer 21pilules completed, is it still protected or not that week?"
"25","Percutaféine can it be used by men?"
"26","evra patch started j + 4 therefore I am not protected pdt 1 month?"
"27","how to take Temesta?"
"28","Seroxat is an antidepressant or anxiolytic?"
"29","you know how long can this crisis? What are the risks? I see a psychlogue since my first so almost one year crisis. thank you for your lights .."
"30","A mother receives prescription Montelukast 4mg Arrow granules for her baby 5 months, she asks whether this shape is adapted so that the baby does not eat yet sturdy?"
"31","Lidocaine she helps to lose weight?"
"32","I'm supposed to take 600mg, but yesterday I took a 300 after taking it, every time I was about to fall asleep, jentendais full of voices coming from everywhere: is it possible that these are hallucinations of the irregularity of the taking of treatment?"
"33","What are the side effects of St. John's wort?"
"34","I just started treatment cystine b6 since 3 days and I have gas, what can I do?"
"35","or get vitamin c4?"
"36","The Clomipramine it can cause hot flashes"
"37","The Euphytose is urtile for anxiety?"
"38","gastrointestinal specialist doctor prescribes me lansoprazole. My doctor told me préscit Olmetec 20 mg for hypertension, and since I take all qiue reaction forms. small red spots and very demengeant ambetant appeared on my right quisse. I stopped Olmetec, but the points are not yet parties after 3 days .. what to do or take?"
"39","oscillococcinum ==> bird flu ..?!?"
"40","dietary supplement natural iron that exists?"
"41","I took the pill and Trinordiol I forget a pill, or I had unprotected sex. I have not taken one I forget and I took my last pill normally. es that there would be risk of being pregnant?"
"42","Risperdal ?? (Neuroleptic)"
"43","risk of multiple pregnancy that ith clomid + risk girls?"
"44","I have strong heartburn. I take Rennie and it does not bother me .. you know more éfficace remedy?"
"45","I am under lovenox 0.4 and this drug is out. do you have any information as to its availability?"
"46","I would like to know the exact areas of application of ESTREVA® 0.1% Gel?"
"47","xanax drug family and nordaz?"
"48","What is the Risperdal?"
"49","URBANYL?"
"50","you know how long the effects of acts Lysanxia?"
"51","is it dangerous if I exceed the dose of syrup for colds?"
"52","hello, I have a rather unusual problem. I took my first pill (jasminelle) last Friday. I took it to 19:30, and my period had started in the night of Thursday to Friday (between 22h and midnight). I wonder if my pill is already effective, or if I took my first pill too late to coincide with the first day of my rules, because I just have sex in which the condom broke down .. what do you recommend ? I'm risks of pregnancy? would it make sense for me to take the morning after pill? thank you in advance. lucile."
"53","atarax for anxiety attack?"
"54","Methotrexate: origin of components ??"
"55","I started Mélodia. I wanted to know if I am protected from the first dose?"
"56","the price of generic lisinopril 20mg rose suddenly from € 12.39 to € 13.25, is this normal?"
"57","cefpodoxime is a quinolone?"
"58","I just Trinordiol resume at 12.45. I usually take it to 12h30.il seem to have understood the need to resume it at the same time after 7 days off! there there will be a risk ??"
"59","Can we cut the tablets Seropram?"
"60","I would like to take the pill jasmine but I'm so afraid of gaining weight !! which pill is not to be supposed to gain weight?"
"61","abilify? what is it effective on? on which receivers?"
"62","effexor 75 + 2 x 100 mg per day Surmontil .qu'en do you think?"
"63","My mother has oeudèmes the ankle and foot soles was prescribed AMLOR and Tenoretic. How long before it leave?"
"64","xanax or valium without prescription?"
"65","When is takes NovoNorm?"
"66","How long for us -it feels increasing dose Valium?"
"67","hello, I take effexor for a week and a half, I am also very hoarse and tired, see ""besotted"" especially in the afternoon. I have trouble knowing if it's the medicine, but I feel. is this a common symptom and especially Is it out ?? by cons I feel to have been less depressed from day one, I even fear losing my emotions, this is it possible ?? could someone help me?"
"68","Sterogyl only for adutles?"
"69","hello, I'm taking a daily pill that s'ppelle gen. there is a problem is that my breast is still swollen and it makes me ill. my doctor prescribe me jasminelle but it seems that it is possible to have bleeding in the prennant? Why this is so? and that my breast will become normal? uqe because it makes really badly .. thank you very much"
"70","Solian stuns me, is this normal?"
"71","Pregnant and flu vaccine ??"
"72","I'm in Seroxat and I suffer from dry eye. is this current?"
"73","someone he had, even at the beginning of jasmine, a huge outbreak of acne ??"
"74","I was taking the pill Ludéal gen for nearly 8 years, I recently changed to leeloo but today I have symptoms of nervousness, depression, abdominal fat and nausea. What do you think of all this?"
"75","I would like to know the price of human wormer?"
"76","I take jasmine, I have weird rules. Is usual with this medicine?"
"77","Are there medications against agoraphobia?"
"78","forgotten pill MICROVAL + relationship Oblivion tonight?"
"79","help! ixprim addiction?"
"80","What can I substitute for Engerix?"
"81","a girlfriend suffering from heel spurs since October. do you know of treatments that work?"
"82","t it is a drug that bit m help calm the anxiety because Prozac does not really calm?"
"83","stop the mepronizine: What effects ??"
"84","can I stop MICROVAL during my plate?"
"85","patient with Methotrexate?"
"86","What cream for genital mycosis can I have in pharmacies without a prescription?"
"87","One can wear a patch evra continuously?"
"88","The efferalgan is compatible with pregnancy?"
"89","I would like to know the virtues of St. John's wort. He promotes memory?"
"90","hello, I woke up Sunday morning with hives on the legs and a bit on the arm .. I went to my doctor yesterday, he deduced that it was an allergy to stresam (I stopped my treatment on Sunday morning) and prescribed poralamine. I took 2 last night but when I woke up this morning, I saw that I had now hives on the neck and arms and hands. it is less important than the legs but still! I am concerned: is it normal for hives continue to ""climb"" despite poralamine? should I fear a angioedema? thank you"
"91","I want to know if Betaserc, serc lectil and have the same molecule?"
"92","what the Primperan?"
"93","What medicine do you recommend for nausea?"
"94","Aspégic infant endometrial thickens it?"
"95","I would like to make a vegetable charcoal treatment. but it seems that the chabon absorbs all medicamment it so anule the same effectiveness for the pill !! I wonder if this is true?"
"96","Fifteen minutes after my price granules, copper gluconate and drops of colloidal sillice I have palpitations and feels wrong to me, what?"
"97","I bleeding with my Melodia pill that I take for 1 year. I am only mileu my plate, is this normal?"
"98","Can we prescribe Zoely as contraception?"
"99","is what we can take Skenan and doliprane same time?"
"100","c is possible avoire breasts swell with Milena?"
"101","Does Varnoline causes dizziness?"
"102","What is the optimal dose dexorat?"
"103","Stilnox he causes nightmares?"
"104","Take you how many mg seroquel?"
"105","prozac + bromazepam what effect?"
"106","Can we prescribe Dapis boiron stick to the pregnant woman?"
"107","I suffer from irritable bowel syndrome and it turns out that the only thing that really makes me good or anxiolytics. Unfortunately, I also have hepatitis C and therefore have no right to this type of medication, are there a solution?"
"108","Haldol + = PARKINANE what side effects ??"
"109","bleeding under Méliane?"
"110","tricelest overdose? What danger?"
